1;1~3;1~5;1~7;1~10;1~15;1~20;1~25;1~30;1~35;1~40;1~45;1~50;*
2;1~3;1~5;1~7;1~10;1~15;1~20;1~25;1~30;1~35;1~40;1~45;1~50;*
3;1~3;1~5;1~7;1~10;1~15;1~20;1~25;1~30;1~35;1~40;1~45;1~50;*
4;4~6;1~5;1~7;1~10;1~15;1~20;1~25;1~30;1~35;1~40;1~45;1~50;*
5;4~6;1~5;1~7;1~10;1~15;1~20;1~25;1~30;1~35;1~40;1~45;1~50;*
6;4~6;6~10;1~7;1~10;1~15;1~20;1~25;1~30;1~35;1~40;1~45;1~50;*
7;7~9;6~10;1~7;1~10;1~15;1~20;1~25;1~30;1~35;1~40;1~45;1~50;*
8;7~9;6~10;8~14;1~10;1~15;1~20;1~25;1~30;1~35;1~40;1~45;1~50;*
9;7~9;6~10;8~14;1~10;1~15;1~20;1~25;1~30;1~35;1~40;1~45;1~50;*
10;10~12;6~10;8~14;1~10;1~15;1~20;1~25;1~30;1~35;1~40;1~45;1~50;*
11;10~12;11~15;8~14;11~20;1~15;1~20;1~25;1~30;1~35;1~40;1~45;1~50;*
12;10~12;11~15;8~14;11~20;1~15;1~20;1~25;1~30;1~35;1~40;1~45;1~50;*
13;13~15;11~15;8~14;11~20;1~15;1~20;1~25;1~30;1~35;1~40;1~45;1~50;*
14;13~15;11~15;8~14;11~20;1~15;1~20;1~25;1~30;1~35;1~40;1~45;1~50;*
15;13~15;11~15;15~21;11~20;1~15;1~20;1~25;1~30;1~35;1~40;1~45;1~50;*
16;16~18;16~20;15~21;11~20;16~30;1~20;1~25;1~30;1~35;1~40;1~45;1~50;*
17;16~18;16~20;15~21;11~20;16~30;1~20;1~25;1~30;1~35;1~40;1~45;1~50;*
18;16~18;16~20;15~21;11~20;16~30;1~20;1~25;1~30;1~35;1~40;1~45;1~50;*
19;19~21;16~20;15~21;11~20;16~30;1~20;1~25;1~30;1~35;1~40;1~45;1~50;*
20;19~21;16~20;15~21;11~20;16~30;1~20;1~25;1~30;1~35;1~40;1~45;1~50;*
21;19~21;21~25;15~21;21~30;16~30;21~40;1~25;1~30;1~35;1~40;1~45;1~50;*
22;22~24;21~25;22~28;21~30;16~30;21~40;1~25;1~30;1~35;1~40;1~45;1~50;*
23;22~24;21~25;22~28;21~30;16~30;21~40;1~25;1~30;1~35;1~40;1~45;1~50;*
24;22~24;21~25;22~28;21~30;16~30;21~40;1~25;1~30;1~35;1~40;1~45;1~50;*
25;25~27;21~25;22~28;21~30;16~30;21~40;1~25;1~30;1~35;1~40;1~45;1~50;*
26;25~27;26~30;22~28;21~30;16~30;21~40;26~50;1~30;1~35;1~40;1~45;1~50;*
27;25~27;26~30;22~28;21~30;16~30;21~40;26~50;1~30;1~35;1~40;1~45;1~50;*
28;28~30;26~30;22~28;21~30;16~30;21~40;26~50;1~30;1~35;1~40;1~45;1~50;*
29;28~30;26~30;29~35;21~30;16~30;21~40;26~50;1~30;1~35;1~40;1~45;1~50;*
30;28~30;26~30;29~35;21~30;16~30;21~40;26~50;1~30;1~35;1~40;1~45;1~50;*
31;31~33;31~35;29~35;31~40;31~45;21~40;26~50;31~60;1~35;1~40;1~45;1~50;*
32;31~33;31~35;29~35;31~40;31~45;21~40;26~50;31~60;1~35;1~40;1~45;1~50;*
33;31~33;31~35;29~35;31~40;31~45;21~40;26~50;31~60;1~35;1~40;1~45;1~50;*
34;34~36;31~35;29~35;31~40;31~45;21~40;26~50;31~60;1~35;1~40;1~45;1~50;*
35;34~36;31~35;29~35;31~40;31~45;21~40;26~50;31~60;1~35;1~40;1~45;1~50;*
36;34~36;36~40;36~42;31~40;31~45;21~40;26~50;31~60;36~70;1~40;1~45;1~50;*
37;37~39;36~40;36~42;31~40;31~45;21~40;26~50;31~60;36~70;1~40;1~45;1~50;*
38;37~39;36~40;36~42;31~40;31~45;21~40;26~50;31~60;36~70;1~40;1~45;1~50;*
39;37~39;36~40;36~42;31~40;31~45;21~40;26~50;31~60;36~70;1~40;1~45;1~50;*
40;40~42;36~40;36~42;31~40;31~45;21~40;26~50;31~60;36~70;1~40;1~45;1~50;*
41;40~42;41~45;36~42;41~50;31~45;41~60;26~50;31~60;36~70;41~80;1~45;1~50;*
42;40~42;41~45;36~42;41~50;31~45;41~60;26~50;31~60;36~70;41~80;1~45;1~50;*
43;43~45;41~45;43~49;41~50;31~45;41~60;26~50;31~60;36~70;41~80;1~45;1~50;*
44;43~45;41~45;43~49;41~50;31~45;41~60;26~50;31~60;36~70;41~80;1~45;1~50;*
45;43~45;41~45;43~49;41~50;31~45;41~60;26~50;31~60;36~70;41~80;1~45;1~50;*
46;46~48;46~50;43~49;41~50;46~60;41~60;26~50;31~60;36~70;41~80;46~90;1~50;*
47;46~48;46~50;43~49;41~50;46~60;41~60;26~50;31~60;36~70;41~80;46~90;1~50;*
48;46~48;46~50;43~49;41~50;46~60;41~60;26~50;31~60;36~70;41~80;46~90;1~50;*
49;49~51;46~50;43~49;41~50;46~60;41~60;26~50;31~60;36~70;41~80;46~90;1~50;*
50;49~51;46~50;50~56;41~50;46~60;41~60;26~50;31~60;36~70;41~80;46~90;1~50;*
51;49~51;51~55;50~56;51~60;46~60;41~60;51~75;31~60;36~70;41~80;46~90;51~100;*
52;52~54;51~55;50~56;51~60;46~60;41~60;51~75;31~60;36~70;41~80;46~90;51~100;*
53;52~54;51~55;50~56;51~60;46~60;41~60;51~75;31~60;36~70;41~80;46~90;51~100;*
54;52~54;51~55;50~56;51~60;46~60;41~60;51~75;31~60;36~70;41~80;46~90;51~100;*
55;55~57;51~55;50~56;51~60;46~60;41~60;51~75;31~60;36~70;41~80;46~90;51~100;*
56;55~57;56~60;50~56;51~60;46~60;41~60;51~75;31~60;36~70;41~80;46~90;51~100;*
57;55~57;56~60;57~63;51~60;46~60;41~60;51~75;31~60;36~70;41~80;46~90;51~100;*
58;58~60;56~60;57~63;51~60;46~60;41~60;51~75;31~60;36~70;41~80;46~90;51~100;*
59;58~60;56~60;57~63;51~60;46~60;41~60;51~75;31~60;36~70;41~80;46~90;51~100;*
60;58~60;56~60;57~63;51~60;46~60;41~60;51~75;31~60;36~70;41~80;46~90;51~100;*
61;61~63;61~65;57~63;61~70;61~75;61~80;51~75;61~90;36~70;41~80;46~90;51~100;*
62;61~63;61~65;57~63;61~70;61~75;61~80;51~75;61~90;36~70;41~80;46~90;51~100;*
63;61~63;61~65;57~63;61~70;61~75;61~80;51~75;61~90;36~70;41~80;46~90;51~100;*
64;64~66;61~65;64~70;61~70;61~75;61~80;51~75;61~90;36~70;41~80;46~90;51~100;*
65;64~66;61~65;64~70;61~70;61~75;61~80;51~75;61~90;36~70;41~80;46~90;51~100;*
66;64~66;66~70;64~70;61~70;61~75;61~80;51~75;61~90;36~70;41~80;46~90;51~100;*
67;67~69;66~70;64~70;61~70;61~75;61~80;51~75;61~90;36~70;41~80;46~90;51~100;*
68;67~69;66~70;64~70;61~70;61~75;61~80;51~75;61~90;36~70;41~80;46~90;51~100;*
69;67~69;66~70;64~70;61~70;61~75;61~80;51~75;61~90;36~70;41~80;46~90;51~100;*
70;70~72;66~70;64~70;61~70;61~75;61~80;51~75;61~90;36~70;41~80;46~90;51~100;*
71;70~72;71~75;71~77;71~80;61~75;61~80;51~75;61~90;71~100;41~80;46~90;51~100;*
72;70~72;71~75;71~77;71~80;61~75;61~80;51~75;61~90;71~100;41~80;46~90;51~100;*
73;73~75;71~75;71~77;71~80;61~75;61~80;51~75;61~90;71~100;41~80;46~90;51~100;*
74;73~75;71~75;71~77;71~80;61~75;61~80;51~75;61~90;71~100;41~80;46~90;51~100;*
75;73~75;71~75;71~77;71~80;61~75;61~80;51~75;61~90;71~100;41~80;46~90;51~100;*
76;76~78;76~80;71~77;71~80;76~90;61~80;76~100;61~90;71~100;41~80;46~90;51~100;*
77;76~78;76~80;71~77;71~80;76~90;61~80;76~100;61~90;71~100;41~80;46~90;51~100;*
78;76~78;76~80;78~84;71~80;76~90;61~80;76~100;61~90;71~100;41~80;46~90;51~100;*
79;79~81;76~80;78~84;71~80;76~90;61~80;76~100;61~90;71~100;41~80;46~90;51~100;*
80;79~81;76~80;78~84;71~80;76~90;61~80;76~100;61~90;71~100;41~80;46~90;51~100;*
81;79~81;81~85;78~84;81~90;76~90;81~100;76~100;61~90;71~100;81~100;46~90;51~100;*
82;82~84;81~85;78~84;81~90;76~90;81~100;76~100;61~90;71~100;81~100;46~90;51~100;*
83;82~84;81~85;78~84;81~90;76~90;81~100;76~100;61~90;71~100;81~100;46~90;51~100;*
84;82~84;81~85;78~84;81~90;76~90;81~100;76~100;61~90;71~100;81~100;46~90;51~100;*
85;85~87;81~85;85~91;81~90;76~90;81~100;76~100;61~90;71~100;81~100;46~90;51~100;*
86;85~87;86~90;85~91;81~90;76~90;81~100;76~100;61~90;71~100;81~100;46~90;51~100;*
87;85~87;86~90;85~91;81~90;76~90;81~100;76~100;61~90;71~100;81~100;46~90;51~100;*
88;88~90;86~90;85~91;81~90;76~90;81~100;76~100;61~90;71~100;81~100;46~90;51~100;*
89;88~90;86~90;85~91;81~90;76~90;81~100;76~100;61~90;71~100;81~100;46~90;51~100;*
90;88~90;86~90;85~91;81~90;76~90;81~100;76~100;61~90;71~100;81~100;46~90;51~100;*
91;91~93;91~95;85~91;91~100;91~100;81~100;76~100;91~100;71~100;81~100;91~100;51~100;*
92;91~93;91~95;92~98;91~100;91~100;81~100;76~100;91~100;71~100;81~100;91~100;51~100;*
93;91~93;91~95;92~98;91~100;91~100;81~100;76~100;91~100;71~100;81~100;91~100;51~100;*
94;94~96;91~95;92~98;91~100;91~100;81~100;76~100;91~100;71~100;81~100;91~100;51~100;*
95;94~96;91~95;92~98;91~100;91~100;81~100;76~100;91~100;71~100;81~100;91~100;51~100;*
96;94~96;96~100;92~98;91~100;91~100;81~100;76~100;91~100;71~100;81~100;91~100;51~100;*
97;97~99;96~100;92~98;91~100;91~100;81~100;76~100;91~100;71~100;81~100;91~100;51~100;*
98;97~99;96~100;92~98;91~100;91~100;81~100;76~100;91~100;71~100;81~100;91~100;51~100;*
99;97~99;96~100;99~100;91~100;91~100;81~100;76~100;91~100;71~100;81~100;91~100;51~100;*
100;100~100;96~100;99~100;91~100;91~100;81~100;76~100;91~100;71~100;81~100;91~100;51~100;*
